pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Flat,36,completed,367,9,Yes,110,315,10,No,95.1,186,9,Yes,65,239,4,78
Flat,37,drawn,554,9,Yes,154,367,10,No,113.4,313,6,Yes,105,121,3,47
Flat,38,completed,312,10,No,88.2,201,10,No,74.1,417,4,Yes,109,171,10,47.2
Flat,39,drawn,354,9,Yes,121,435,10,No,130.1,179,10,No,77.4,37,1,19
Flat,40,completed,314,10,No,100.3,168,10,No,49.3,253,10,No,76.4,361,10,107.4
Flat,41,completed,250,10,No,85.2,483,8,Yes,147,297,10,No,95.4,65,4,24.4
Flat,42,completed,161,10,No,51.2,310,9,Yes,99,129,10,No,45.6,0,0,0
Flat,43,drawn,518,9,Yes,155,403,10,No,128.5,340,4,Yes,103,0,0,0
Flat,44,completed,110,10,No,48.5,177,9,Yes,56,395,9,Yes,115,113,10,37.1
Flat,45,completed,194,10,No,70.6,310,9,Yes,88,392,9,Yes,111,277,5,85.4
Flat,46,completed,284,10,No,86.5,210,10,No,62.2,413,9,Yes,129,410,10,153.2
Flat,47,drawn,479,9,Yes,148,352,10,No,112.4,294,3,Yes,106,102,0,29
Flat,48,completed,227,10,No,62.5,565,7,Yes,163,215,10,No,71.2,0,0,0
Flat,49,drawn,446,9,Yes,131,357,10,No,96.4,386,4,Yes,119,57,5,29
Flat,50,completed,164,10,No,54.2,417,9,Yes,113,273,10,No,82.1,26,1,7.3
Flat,51,completed,110,10,No,41.4,462,9,Yes,139,338,10,No,85.4,0,0,0
Flat,52,completed,353,9,Yes,109,267,10,No,99.1,416,10,No,103.6,147,10,61.3
Flat,53,completed,148,10,No,48.6,335,10,No,101.5,214,10,No,65.4,30,0,8.1
Flat,54,drawn,313,10,No,92.3,490,10,No,143.2,267,6,Yes,94,0,0,0
Flat,55,completed,370,10,No,108.5,444,10,No,119.6,295,10,No,99.2,222,6,74.1
Flat,56,drawn,400,9,Yes,116,260,10,No,72.5,346,5,Yes,102,412,8,145
Flat,57,drawn,555,9,Yes,168,564,10,No,177.4,127,4,No,50,,,
Flat,58,completed,204,10,No,63.3,419,10,No,134.6,451,9,Yes,106,237,4,81
Flat,59,completed,196,10,No,64.3,101,10,No,29.4,292,9,Yes,95,176,10,64.2
Flat,60,completed,434,10,No,135.4,307,10,No,89.2,169,9,Yes,65,234,10,79.3
Flat,61,completed,592,9,Yes,181,89,10,No,30.5,350,10,No,131.4,,,
Flat,62,completed,290,10,No,90.6,292,10,No,97.4,277,9,Yes,81,224,10,70.2
Flat,63,completed,141,10,No,45.4,418,9,Yes,124,391,10,No,111.6,115,4,30.3
Flat,64,completed,251,10,No,66.6,555,8,Yes,166,175,10,No,55.4,0,0,0
Flat,65,completed,405,9,Yes,130,122,10,No,38.3,430,8,Yes,122,318,10,113.6
Flat,66,completed,141,10,No,49.6,203,9,Yes,62,315,10,No,104.5,254,7,72
Flat,67,drawn,440,9,Yes,138,262,10,No,76.1,304,3,Yes,105,298,2,94
Flat,68,completed,254,10,No,75.1,274,10,No,88.2,383,9,Yes,114,354,10,111.3
Flat,69,completed,433,9,Yes,131,153,10,No,53.1,431,5,Yes,102,136,10,59.3
Flat,70,drawn,449,9,Yes,143,531,10,No,143.5,272,9,Yes,111,104,3,38
Flat,71,completed,162,10,No,49.4,238,9,Yes,80,228,10,No,84.6,153,2,41
Flat,72,drawn,516,9,Yes,155,415,10,No,125.2,342,3,Yes,127,0,0,0
Flat,73,drawn,649,9,Yes,181,311,10,No,88.2,339,6,Yes,111,107,2,29
Flat,74,drawn,277,10,No,80.1,507,10,No,132.6,217,9,No,90,,,
Flat,75,completed,671,9,Yes,196,179,10,No,55.6,317,10,No,118.3,,,
Flat,76,completed,351,9,Yes,102,450,9,Yes,129,211,10,No,67.2,113,4,38.2
Flat,77,drawn,681,6,Yes,203,402,10,No,134.6,179,6,Yes,69,65,3,29
Flat,78,completed,588,9,Yes,165,285,10,No,86.3,188,10,No,85.5,238,10,73.2
Flat,79,completed,423,10,No,119.4,488,10,No,124.1,191,10,No,68.3,128,3,45
Flat,80,completed,178,10,No,62.6,329,9,Yes,84,357,9,Yes,108,207,2,55.4
Flat,81,completed,227,10,No,76.4,338,9,Yes,103,255,9,Yes,70,145,3,41.4
Flat,82,completed,462,10,No,130.4,213,10,No,65.2,227,9,Yes,85,338,10,125.5
Flat,83,drawn,248,10,No,73.6,443,9,Yes,130,531,6,Yes,147,49,2,19
Flat,84,drawn,401,9,Yes,116,259,10,No,88.2,170,9,Yes,75,254,5,79
Flat,85,completed,151,10,No,52.6,323,9,Yes,87,560,7,Yes,142,204,10,71.5
Flat,86,completed,106,10,No,43.3,287,9,Yes,88,492,4,Yes,130,239,10,66.1
Flat,87,completed,239,10,No,72.5,146,10,No,50.6,256,9,Yes,75,350,8,108.4
Flat,88,completed,379,9,Yes,103,322,10,No,103.6,356,9,Yes,102,416,5,121.2
Flat,89,drawn,445,9,Yes,120,449,10,No,123.3,283,4,Yes,106,46,1,15
Flat,90,completed,197,10,No,72.6,561,9,Yes,158,279,10,No,80.5,0,0,0
Flat,91,completed,269,10,No,73.6,428,9,Yes,123,207,10,No,57.4,52,1,13.2
Flat,92,completed,460,9,Yes,141,155,10,No,53.1,209,6,Yes,64,130,10,61.2
Flat,93,completed,315,10,No,90.6,396,9,Yes,117,174,10,No,60.4,94,3,26.2
Flat,94,completed,267,10,No,73.6,306,10,No,85.2,227,10,No,74.2,189,5,53.1
Flat,95,drawn,732,9,Yes,195,732,7,No,240,,,,,,,
Flat,96,completed,316,10,No,102.6,513,6,Yes,159,262,10,No,95.5,66,2,25.1
Flat,97,completed,327,10,No,107.6,292,10,No,78.6,359,6,Yes,105,395,4,112.5
Flat,98,completed,343,9,Yes,92,318,10,No,80.4,249,9,Yes,79,275,4,81.2
Flat,99,drawn,452,9,Yes,130,251,10,No,78.5,366,10,No,123.5,34,2,13
Flat,100,completed,192,10,No,59.5,318,9,Yes,96,254,9,Yes,81,129,2,39.5
Dead,1,drawn,472,9,Yes,139,424,10,No,124.5,311,5,Yes,101,158,3,58
Dead,2,completed,631,9,Yes,182,217,10,No,59.3,386,10,No,146.4,,,
Dead,3,completed,754,9,Yes,195,262,10,No,90.6,203,10,No,73.4,,,
Dead,4,drawn,671,9,Yes,190,360,10,No,109.1,268,9,Yes,92,165,6,44
Dead,5,completed,179,10,No,46.3,507,10,No,144.2,228,10,No,63.4,0,0,0
Dead,6,completed,371,10,No,105.6,278,10,No,76.5,118,9,Yes,29,212,2,54.3
Dead,7,drawn,550,9,Yes,163,271,10,No,95.2,297,4,Yes,119,172,6,58
Dead,8,completed,128,10,No,37.4,200,9,Yes,67,302,9,Yes,95,231,3,66.1
Dead,9,drawn,349,10,No,100.2,419,10,No,144.1,190,4,No,63,,,
Dead,10,completed,433,9,Yes,123,417,10,No,115.4,412,10,No,124.5,207,10,69.1
Dead,11,completed,223,10,No,70.2,378,9,Yes,108,306,9,Yes,92,155,3,37.3
Dead,12,completed,161,10,No,52.3,317,9,Yes,89,277,9,Yes,76,122,2,29.1
Dead,13,completed,287,10,No,96.5,552,7,Yes,148,220,10,No,84.4,0,0,0
Dead,14,drawn,570,10,No,155.3,289,10,No,94.5,182,5,No,70,,,
Dead,15,completed,253,10,No,70.2,448,9,Yes,137,242,10,No,65.1,49,1,10.3
Dead,16,completed,405,10,No,116.5,368,10,No,104.3,271,10,No,93.3,238,10,94.5
